101 Dalmatians | 101 dalmatians | m.018gq3 | film.film.story_by | m.018k1r | Dodie Smith | Who wrote the 1956 novel ‘101 Dalmatians’? | Dodie Smith
101 Dalmatians | 101 dalmatians | m.09g8x28 | book.written_work.author | m.018k1r | Dodie Smith | Who wrote the 1956 novel ‘101 Dalmatians’? | Dodie Smith
10 Things I Hate About You | 10 things i hate about you | m.023m3f | media_common.adaptation.adapted_from | m.0gxwz | Taming of the Shrew | The 1999 film ’10 Things I Hate About You’ is based on which Shakespeare play? | Taming of the Shrew
10 Things I Hate About You | 10 things i hate about you | m.023m3f | media_common.adaptation.adapted_from | m.0gxwz | The Taming Of The Shrew | The 1999 film 10 Things I Hate About You is based on which Shakespeare play? | The Taming Of The Shrew
10 things I hate about you | 10 things i hate about you | m.023m3f | media_common.adaptation.adapted_from | m.0gxwz | The Taming Of The Shrew | The film `10 things I hate about you` is based on which Shakespeare play? | The Taming Of The Shrew
1,2 Step | 1, 2 step | m.01qz7zq | music.album.featured_artists | m.018n6m | Missy Elliot | Ciara had a hit with “1,2 Step” featuring which other artist? | Missy Elliot
1,2 Step | 1, 2 step | m.05ypvl | music.composition.composer | m.018n6m | Missy Elliot | Ciara had a hit with “1,2 Step” featuring which other artist? | Missy Elliot
1,2 Step | 1, 2 step | m.0n1xn79 | music.music_video.artist | m.018n6m | Missy Elliot | Ciara had a hit with “1,2 Step” featuring which other artist? | Missy Elliot
1,2 Step | 1, 2 step | m.0yyd00 | music.recording.artist | m.018n6m | Missy Elliot | Ciara had a hit with “1,2 Step” featuring which other artist? | Missy Elliot
1,2 Step | 1, 2 step | m.0yyd00 | music.recording.featured_artists | m.018n6m | Missy Elliot | Ciara had a hit with “1,2 Step” featuring which other artist? | Missy Elliot
1600 Pennsylvania Avenue | white house | m.01bf8b | common.topic.image | m.04y0v4r | The White House | Which famous building has the address 1600 Pennsylvania Avenue? | The White House
1812 Overture | 1812 overture | m.01ptsd | music.composition.composer | m.063tn | Tchaikovsky | Who composed the “1812 Overture”? | Tchaikovsky
1812 Overture | 1812 overture | m.0g6dkn0 | music.recording.artist | m.063tn | Tchaikovsky | Who composed the “1812 Overture”? | Tchaikovsky
1812 Overture | 1812 overture | m.0yczgf5 | music.album.artist | m.063tn | Tchaikovsky | Who composed the “1812 Overture”? | Tchaikovsky
1896 Olympics | 1896 summer olympics | m.0c_tl | olympics.olympic_games.sports | m.07k60 | Triple Jump | In the Modern 1896 Olympics what was the first event decided | Triple Jump
1908 Summer Olympic Games | 1908 summer olympics | m.018qb4 | olympics.olympic_games.host_city | m.04jpl | London | The 1908 Summer Olympic Games were hosted by which European city? | London
1908 Summer Olympic Games | 1908 summer olympics | m.018qb4 | time.event.locations | m.04jpl | London | The 1908 Summer Olympic Games were hosted by which European city? | London
1912 Olympic games | 1912 summer olympics | m.018ljb | olympics.olympic_games.host_city | m.06mxs | Stockholm | In which city were the 1912 Olympic games held? Oslo, Antwerp or Stockholm? | Stockholm
1912 Olympic games | 1912 summer olympics | m.018ljb | time.event.locations | m.06mxs | Stockholm | In which city were the 1912 Olympic games held? Oslo, Antwerp or Stockholm? | Stockholm
1920 Olympic games | 1920 summer olympics | m.0sxrz | olympics.olympic_games.host_city | m.0fydw | Antwerp | In which city were the 1920 Olympic games held? Oslo, Antwerp or Stockholm? | Antwerp
1920 Olympic games | 1920 summer olympics | m.0sxrz | time.event.locations | m.0fydw | Antwerp | In which city were the 1920 Olympic games held? Oslo, Antwerp or Stockholm? | Antwerp
1936 Olympic Games | 1936 summer olympics | m.09x3r | user.jg.default_domain.olympic_games.opened_by | m.07_m9_ | Adolf Hitler | Which famous person from history opened the 1936 Olympic Games? | Adolf Hitler
1936 Summer Olympic Games | 1936 summer olympics | m.09x3r | olympics.olympic_games.participating_countries | m.0345h | Germany | Which country hosted the 1936 Summer Olympic Games? | Germany
1940 NFL Championship game | 1940 nfl championship game | m.09fmw8 | sports.sports_championship_event.runner_up | m.084l5 | Washington Redskins | The Chicago Bears defeated which team 73-0 in the 1940 NFL Championship game? | Washington Redskins
1950 FIFA World Cup | 1950 fifa world cup | m.0g9cz | time.event.locations | m.015fr | Brazil | The 1950 FIFA World Cup was held in which country? | Brazil
1952 Olympic games | 1952 summer olympics | m.0lgxj | olympics.olympic_games.host_city | m.03khn | Helsinki | Where were the 1952 Olympic games held | Helsinki
1952 Olympic games | 1952 summer olympics | m.0lgxj | time.event.locations | m.03khn | Helsinki | Where were the 1952 Olympic games held | Helsinki
1955 film version | oklahoma! | m.015xsjl | music.recording.tracks | m.010tbspm | Oklahoma | Which Rodgers and Hammerstein musical made its television debut when CBS broadcast the 1955 film version as a three-hour Thanksgiving special in 1970? | Oklahoma
1955 film version | oklahoma! | m.08wh2q | music.composition.recordings | m.0fl9lz2 | Oklahoma | Which Rodgers and Hammerstein musical made its television debut when CBS broadcast the 1955 film version as a three-hour Thanksgiving special in 1970? | Oklahoma
1955 film version | oklahoma! | m.0ftwst4 | music.release.track_list | m.0mqqzpq | Oklahoma | Which Rodgers and Hammerstein musical made its television debut when CBS broadcast the 1955 film version as a three-hour Thanksgiving special in 1970? | Oklahoma
1955 film version | oklahoma! | m.0ftwst4 | music.release.track | m.0ftwsvm | Oklahoma | Which Rodgers and Hammerstein musical made its television debut when CBS broadcast the 1955 film version as a three-hour Thanksgiving special in 1970? | Oklahoma
1955 film version | oklahoma! | m.0k92j | theater.play.productions | m.0z9_cbb | Oklahoma | Which Rodgers and Hammerstein musical made its television debut when CBS broadcast the 1955 film version as a three-hour Thanksgiving special in 1970? | Oklahoma
1955 film version | oklahoma! | m.0ls94nv | music.release_track.recording | m.015xsjl | Oklahoma | Which Rodgers and Hammerstein musical made its television debut when CBS broadcast the 1955 film version as a three-hour Thanksgiving special in 1970? | Oklahoma
1955 film version | oklahoma! | m.0_zxfkw | music.recording.canonical_version | m.0nnbqsf | Oklahoma | Which Rodgers and Hammerstein musical made its television debut when CBS broadcast the 1955 film version as a three-hour Thanksgiving special in 1970? | Oklahoma
1955 film version | oklahoma! | m.0_zxfkw | music.recording.song | m.08wh2q | Oklahoma | Which Rodgers and Hammerstein musical made its television debut when CBS broadcast the 1955 film version as a three-hour Thanksgiving special in 1970? | Oklahoma
1960 Olympic | 1960 summer olympics | m.0lbd9 | olympics.olympic_games.sports | m.06z6r | Swimming | British sportswoman Anita Lonsbrough won a 1960 Olympic Gold medal in which sport? | Swimming
1960 Olympic | 1960 summer olympics | m.0lbd9 | user.jg.default_domain.olympic_games.sports | m.06z6r | Swimming | British sportswoman Anita Lonsbrough won a 1960 Olympic Gold medal in which sport? | Swimming
